2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","323","Monash","0","ABSENT","0","1","36561","MORGAN","Mat","GVIC","The Australian Greens - Victoria","N","Preference Count","494"
"VIC","323","Monash","0","ABSENT","0","1","36561","MORGAN","Mat","GVIC","The Australian Greens - Victoria","N","Preference Percent","19.030"
"VIC","323","Monash","0","ABSENT","0","1","36561","MORGAN","Mat","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","1","36561","MORGAN","Mat","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","2","36737","BROADBENT","Russell Evan","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","759"
"VIC","323","Monash","0","ABSENT","0","2","36737","BROADBENT","Russell Evan","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","29.240"
"VIC","323","Monash","0","ABSENT","0","2","36737","BROADBENT","Russell Evan","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","2","36737","BROADBENT","Russell Evan","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Preference Count","188"
"VIC","323","Monash","0","ABSENT","0","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Preference Percent","7.240"
"VIC","323","Monash","0","ABSENT","0","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","3","36065","LEONARD","Deborah Louise","IND","Independent","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Preference Count","230"
"VIC","323","Monash","0","ABSENT","0","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Preference Percent","8.860"
"VIC","323","Monash","0","ABSENT","0","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","4","37629","HICKEN","Allan Luke","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Preference Count","26"
"VIC","323","Monash","0","ABSENT","0","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Preference Percent","1.000"
"VIC","323","Monash","0","ABSENT","0","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","5","37637","WELSH","David Matthew","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","596"
"VIC","323","Monash","0","ABSENT","0","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","22.960"
"VIC","323","Monash","0","ABSENT","0","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","6","36455","O'DONNELL","Jessica Anne","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","7","36914","EDWARDS","Megan Jane","LDP","Liberal Democratic Party","N","Preference Count","93"
"VIC","323","Monash","0","ABSENT","0","7","36914","EDWARDS","Megan Jane","LDP","Liberal Democratic Party","N","Preference Percent","3.580"
"VIC","323","Monash","0","ABSENT","0","7","36914","EDWARDS","Megan Jane","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","7","36914","EDWARDS","Megan Jane","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","0","8","36039","McSHANE","Christine Ann","UAPP","United Australia Party","N","Preference Count","210"
"VIC","323","Monash","0","ABSENT","0","8","36039","McSHANE","Christine Ann","UAPP","United Australia Party","N","Preference Percent","8.090"
"VIC","323","Monash","0","ABSENT","0","8","36039","McSHANE","Christine Ann","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","323","Monash","0","ABSENT","0","8","36039","McSHANE","Christine Ann","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","323","Monash","0","ABSENT","1","1","36561","MORGAN","Mat","GVIC","The Australian Greens - Victoria","N","Preference Count","496"
"VIC","323","Monash","0","ABSENT","1","1","36561","MORGAN","Mat","GVIC","The Australian Greens - Victoria","N","Preference Percent","19.110"
