2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","232","Scullin","0","ABSENT","0","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Count","674"
"VIC","232","Scullin","0","ABSENT","0","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Percent","18.120"
"VIC","232","Scullin","0","ABSENT","0","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Count","275"
"VIC","232","Scullin","0","ABSENT","0","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Percent","7.390"
"VIC","232","Scullin","0","ABSENT","0","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Count","186"
"VIC","232","Scullin","0","ABSENT","0","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Percent","5.000"
"VIC","232","Scullin","0","ABSENT","0","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1395"
"VIC","232","Scullin","0","ABSENT","0","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.500"
"VIC","232","Scullin","0","ABSENT","0","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Count","372"
"VIC","232","Scullin","0","ABSENT","0","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Percent","10.000"
"VIC","232","Scullin","0","ABSENT","0","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","723"
"VIC","232","Scullin","0","ABSENT","0","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","19.440"
"VIC","232","Scullin","0","ABSENT","0","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","0","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Count","95"
"VIC","232","Scullin","0","ABSENT","0","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Percent","2.550"
"VIC","232","Scullin","0","ABSENT","0","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","0","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","1","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Count","720"
"VIC","232","Scullin","0","ABSENT","1","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Percent","19.350"
"VIC","232","Scullin","0","ABSENT","1","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Count","46"
"VIC","232","Scullin","0","ABSENT","1","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Percent","48.420"
"VIC","232","Scullin","0","ABSENT","1","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Count","282"
"VIC","232","Scullin","0","ABSENT","1","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Percent","7.580"
"VIC","232","Scullin","0","ABSENT","1","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Count","7"
"VIC","232","Scullin","0","ABSENT","1","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Percent","7.370"
"VIC","232","Scullin","0","ABSENT","1","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Count","189"
"VIC","232","Scullin","0","ABSENT","1","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Percent","5.080"
"VIC","232","Scullin","0","ABSENT","1","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Count","3"
"VIC","232","Scullin","0","ABSENT","1","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Percent","3.160"
"VIC","232","Scullin","0","ABSENT","1","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1409"
"VIC","232","Scullin","0","ABSENT","1","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","37.880"
"VIC","232","Scullin","0","ABSENT","1","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","14"
"VIC","232","Scullin","0","ABSENT","1","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","14.740"
"VIC","232","Scullin","0","ABSENT","1","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Count","386"
"VIC","232","Scullin","0","ABSENT","1","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Percent","10.380"
"VIC","232","Scullin","0","ABSENT","1","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Count","14"
"VIC","232","Scullin","0","ABSENT","1","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Percent","14.740"
"VIC","232","Scullin","0","ABSENT","1","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","734"
"VIC","232","Scullin","0","ABSENT","1","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","19.730"
"VIC","232","Scullin","0","ABSENT","1","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","11"
"VIC","232","Scullin","0","ABSENT","1","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","11.580"
"VIC","232","Scullin","0","ABSENT","1","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","1","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Percent","0.000"
"VIC","232","Scullin","0","ABSENT","1","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Transfer Count","-95"
"VIC","232","Scullin","0","ABSENT","1","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Transfer Percent","-100.000"
"VIC","232","Scullin","0","ABSENT","2","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Count","739"
"VIC","232","Scullin","0","ABSENT","2","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Percent","19.870"
"VIC","232","Scullin","0","ABSENT","2","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Count","19"
"VIC","232","Scullin","0","ABSENT","2","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Percent","10.050"
"VIC","232","Scullin","0","ABSENT","2","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Count","330"
"VIC","232","Scullin","0","ABSENT","2","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Percent","8.870"
"VIC","232","Scullin","0","ABSENT","2","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Count","48"
"VIC","232","Scullin","0","ABSENT","2","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Percent","25.400"
"VIC","232","Scullin","0","ABSENT","2","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","2","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
"VIC","232","Scullin","0","ABSENT","2","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Count","-189"
"VIC","232","Scullin","0","ABSENT","2","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Percent","-100.000"
"VIC","232","Scullin","0","ABSENT","2","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1446"
"VIC","232","Scullin","0","ABSENT","2","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","38.870"
"VIC","232","Scullin","0","ABSENT","2","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","37"
"VIC","232","Scullin","0","ABSENT","2","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","19.580"
"VIC","232","Scullin","0","ABSENT","2","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Count","415"
"VIC","232","Scullin","0","ABSENT","2","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Percent","11.160"
"VIC","232","Scullin","0","ABSENT","2","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Count","29"
"VIC","232","Scullin","0","ABSENT","2","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Percent","15.340"
"VIC","232","Scullin","0","ABSENT","2","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","790"
"VIC","232","Scullin","0","ABSENT","2","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","21.240"
"VIC","232","Scullin","0","ABSENT","2","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","56"
"VIC","232","Scullin","0","ABSENT","2","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","29.630"
"VIC","232","Scullin","0","ABSENT","2","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","2","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Percent","0.000"
"VIC","232","Scullin","0","ABSENT","2","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","2","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","3","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Count","802"
"VIC","232","Scullin","0","ABSENT","3","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Preference Percent","21.560"
"VIC","232","Scullin","0","ABSENT","3","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Count","63"
"VIC","232","Scullin","0","ABSENT","3","1","36567","PATERSON","Patchouly Saffron","GVIC","The Australian Greens - Victoria","N","Transfer Percent","19.090"
"VIC","232","Scullin","0","ABSENT","3","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","3","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","232","Scullin","0","ABSENT","3","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Count","-330"
"VIC","232","Scullin","0","ABSENT","3","2","37649","van BREE","Ursula","ON","Pauline Hanson's One Nation","N","Transfer Percent","-100.000"
"VIC","232","Scullin","0","ABSENT","3","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","3","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
"VIC","232","Scullin","0","ABSENT","3","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","232","Scullin","0","ABSENT","3","3","37214","KOELMEYER","Eric Alistair","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","232","Scullin","0","ABSENT","3","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1486"
"VIC","232","Scullin","0","ABSENT","3","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","39.950"
"VIC","232","Scullin","0","ABSENT","3","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","40"
"VIC","232","Scullin","0","ABSENT","3","4","36447","GILES","Andrew James","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","12.120"
"VIC","232","Scullin","0","ABSENT","3","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Count","601"
"VIC","232","Scullin","0","ABSENT","3","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Preference Percent","16.160"
"VIC","232","Scullin","0","ABSENT","3","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Count","186"
"VIC","232","Scullin","0","ABSENT","3","5","36027","ALBARRI","Yassin Akram","UAPP","United Australia Party","N","Transfer Percent","56.360"
"VIC","232","Scullin","0","ABSENT","3","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","831"
"VIC","232","Scullin","0","ABSENT","3","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.340"
"VIC","232","Scullin","0","ABSENT","3","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","41"
"VIC","232","Scullin","0","ABSENT","3","6","36741","PERERA","Virosh Adrian","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","12.420"
"VIC","232","Scullin","0","ABSENT","3","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Count","0"
"VIC","232","Scullin","0","ABSENT","3","7","36658","ROWE","Cameron Mark","VNS","Victorian Socialists","N","Preference Percent","0.000"
