2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","233","Wannon","0","ABSENT","0","1","37812","GARNER","Graham","IND","Independent","N","Preference Count","82"
"VIC","233","Wannon","0","ABSENT","0","1","37812","GARNER","Graham","IND","Independent","N","Preference Percent","3.730"
"VIC","233","Wannon","0","ABSENT","0","1","37812","GARNER","Graham","IND","Independent","N","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","1","37812","GARNER","Graham","IND","Independent","N","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","0","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","709"
"VIC","233","Wannon","0","ABSENT","0","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","32.240"
"VIC","233","Wannon","0","ABSENT","0","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","0","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Preference Count","107"
"VIC","233","Wannon","0","ABSENT","0","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Preference Percent","4.870"
"VIC","233","Wannon","0","ABSENT","0","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","0","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Preference Count","345"
"VIC","233","Wannon","0","ABSENT","0","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Preference Percent","15.690"
"VIC","233","Wannon","0","ABSENT","0","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","0","5","33601","DYSON","Alexander Edward","IND","Independent","N","Preference Count","369"
"VIC","233","Wannon","0","ABSENT","0","5","33601","DYSON","Alexander Edward","IND","Independent","N","Preference Percent","16.780"
"VIC","233","Wannon","0","ABSENT","0","5","33601","DYSON","Alexander Edward","IND","Independent","N","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","5","33601","DYSON","Alexander Edward","IND","Independent","N","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","0","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Preference Count","98"
"VIC","233","Wannon","0","ABSENT","0","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Preference Percent","4.460"
"VIC","233","Wannon","0","ABSENT","0","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","0","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Preference Count","53"
"VIC","233","Wannon","0","ABSENT","0","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Preference Percent","2.410"
"VIC","233","Wannon","0","ABSENT","0","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","0","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","436"
"VIC","233","Wannon","0","ABSENT","0","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","19.830"
"VIC","233","Wannon","0","ABSENT","0","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","233","Wannon","0","ABSENT","0","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","233","Wannon","0","ABSENT","1","1","37812","GARNER","Graham","IND","Independent","N","Preference Count","87"
"VIC","233","Wannon","0","ABSENT","1","1","37812","GARNER","Graham","IND","Independent","N","Preference Percent","3.960"
"VIC","233","Wannon","0","ABSENT","1","1","37812","GARNER","Graham","IND","Independent","N","Transfer Count","5"
"VIC","233","Wannon","0","ABSENT","1","1","37812","GARNER","Graham","IND","Independent","N","Transfer Percent","9.430"
"VIC","233","Wannon","0","ABSENT","1","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","722"
"VIC","233","Wannon","0","ABSENT","1","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","32.830"
"VIC","233","Wannon","0","ABSENT","1","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","13"
"VIC","233","Wannon","0","ABSENT","1","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","24.530"
"VIC","233","Wannon","0","ABSENT","1","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Preference Count","123"
"VIC","233","Wannon","0","ABSENT","1","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Preference Percent","5.590"
"VIC","233","Wannon","0","ABSENT","1","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Transfer Count","16"
"VIC","233","Wannon","0","ABSENT","1","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Transfer Percent","30.190"
"VIC","233","Wannon","0","ABSENT","1","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Preference Count","350"
"VIC","233","Wannon","0","ABSENT","1","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Preference Percent","15.920"
"VIC","233","Wannon","0","ABSENT","1","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Transfer Count","5"
"VIC","233","Wannon","0","ABSENT","1","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Transfer Percent","9.430"
"VIC","233","Wannon","0","ABSENT","1","5","33601","DYSON","Alexander Edward","IND","Independent","N","Preference Count","372"
"VIC","233","Wannon","0","ABSENT","1","5","33601","DYSON","Alexander Edward","IND","Independent","N","Preference Percent","16.920"
"VIC","233","Wannon","0","ABSENT","1","5","33601","DYSON","Alexander Edward","IND","Independent","N","Transfer Count","3"
"VIC","233","Wannon","0","ABSENT","1","5","33601","DYSON","Alexander Edward","IND","Independent","N","Transfer Percent","5.660"
"VIC","233","Wannon","0","ABSENT","1","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Preference Count","108"
"VIC","233","Wannon","0","ABSENT","1","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Preference Percent","4.910"
"VIC","233","Wannon","0","ABSENT","1","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Transfer Count","10"
"VIC","233","Wannon","0","ABSENT","1","6","36030","KENSEN","Craige William","UAPP","United Australia Party","N","Transfer Percent","18.870"
"VIC","233","Wannon","0","ABSENT","1","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Preference Count","0"
"VIC","233","Wannon","0","ABSENT","1","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
"VIC","233","Wannon","0","ABSENT","1","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Transfer Count","-53"
"VIC","233","Wannon","0","ABSENT","1","7","36931","MEAD","Amanda Leonie","LDP","Liberal Democratic Party","N","Transfer Percent","-100.000"
"VIC","233","Wannon","0","ABSENT","1","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","437"
"VIC","233","Wannon","0","ABSENT","1","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","19.870"
"VIC","233","Wannon","0","ABSENT","1","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","1"
"VIC","233","Wannon","0","ABSENT","1","8","36450","WILSON","Gilbert Desmond","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","1.890"
"VIC","233","Wannon","0","ABSENT","2","1","37812","GARNER","Graham","IND","Independent","N","Preference Count","0"
"VIC","233","Wannon","0","ABSENT","2","1","37812","GARNER","Graham","IND","Independent","N","Preference Percent","0.000"
"VIC","233","Wannon","0","ABSENT","2","1","37812","GARNER","Graham","IND","Independent","N","Transfer Count","-87"
"VIC","233","Wannon","0","ABSENT","2","1","37812","GARNER","Graham","IND","Independent","N","Transfer Percent","-100.000"
"VIC","233","Wannon","0","ABSENT","2","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","746"
"VIC","233","Wannon","0","ABSENT","2","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","33.920"
"VIC","233","Wannon","0","ABSENT","2","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","24"
"VIC","233","Wannon","0","ABSENT","2","2","36735","TEHAN","Daniel Thomas","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","27.590"
"VIC","233","Wannon","0","ABSENT","2","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Preference Count","134"
"VIC","233","Wannon","0","ABSENT","2","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Preference Percent","6.090"
"VIC","233","Wannon","0","ABSENT","2","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Transfer Count","11"
"VIC","233","Wannon","0","ABSENT","2","3","37820","GRAHAM","Ronald Paul","ON","Pauline Hanson's One Nation","N","Transfer Percent","12.640"
"VIC","233","Wannon","0","ABSENT","2","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Preference Count","355"
"VIC","233","Wannon","0","ABSENT","2","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Preference Percent","16.140"
"VIC","233","Wannon","0","ABSENT","2","4","36670","McALLISTER","Hilary Grace","GVIC","The Australian Greens - Victoria","N","Transfer Count","5"
