2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","234","Wills","0","ABSENT","0","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","522"
"VIC","234","Wills","0","ABSENT","0","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","12.970"
"VIC","234","Wills","0","ABSENT","0","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Preference Count","122"
"VIC","234","Wills","0","ABSENT","0","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Preference Percent","3.030"
"VIC","234","Wills","0","ABSENT","0","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Preference Count","122"
"VIC","234","Wills","0","ABSENT","0","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Preference Percent","3.030"
"VIC","234","Wills","0","ABSENT","0","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Preference Count","41"
"VIC","234","Wills","0","ABSENT","0","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Preference Percent","1.020"
"VIC","234","Wills","0","ABSENT","0","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Preference Count","97"
"VIC","234","Wills","0","ABSENT","0","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Preference Percent","2.410"
"VIC","234","Wills","0","ABSENT","0","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Preference Count","173"
"VIC","234","Wills","0","ABSENT","0","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Preference Percent","4.300"
"VIC","234","Wills","0","ABSENT","0","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1303"
"VIC","234","Wills","0","ABSENT","0","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","32.370"
"VIC","234","Wills","0","ABSENT","0","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Preference Count","81"
"VIC","234","Wills","0","ABSENT","0","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Preference Percent","2.010"
"VIC","234","Wills","0","ABSENT","0","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","0","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Count","1564"
"VIC","234","Wills","0","ABSENT","0","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Percent","38.860"
"VIC","234","Wills","0","ABSENT","0","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","234","Wills","0","ABSENT","0","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","234","Wills","0","ABSENT","1","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","526"
"VIC","234","Wills","0","ABSENT","1","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","13.070"
"VIC","234","Wills","0","ABSENT","1","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","4"
"VIC","234","Wills","0","ABSENT","1","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","9.760"
"VIC","234","Wills","0","ABSENT","1","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Preference Count","136"
"VIC","234","Wills","0","ABSENT","1","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Preference Percent","3.380"
"VIC","234","Wills","0","ABSENT","1","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Transfer Count","14"
"VIC","234","Wills","0","ABSENT","1","2","37747","TINDAL","Jillian Lynette","ON","Pauline Hanson's One Nation","N","Transfer Percent","34.150"
"VIC","234","Wills","0","ABSENT","1","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Preference Count","127"
"VIC","234","Wills","0","ABSENT","1","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Preference Percent","3.160"
"VIC","234","Wills","0","ABSENT","1","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Transfer Count","5"
"VIC","234","Wills","0","ABSENT","1","3","36664","BLACK","Emma Elizabeth","VNS","Victorian Socialists","N","Transfer Percent","12.200"
"VIC","234","Wills","0","ABSENT","1","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Preference Count","0"
"VIC","234","Wills","0","ABSENT","1","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Preference Percent","0.000"
"VIC","234","Wills","0","ABSENT","1","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Transfer Count","-41"
"VIC","234","Wills","0","ABSENT","1","4","37770","SERGI","Sam","CYA","Australian Federation Party","N","Transfer Percent","-100.000"
"VIC","234","Wills","0","ABSENT","1","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Preference Count","100"
"VIC","234","Wills","0","ABSENT","1","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Preference Percent","2.480"
"VIC","234","Wills","0","ABSENT","1","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Transfer Count","3"
"VIC","234","Wills","0","ABSENT","1","5","36958","BOLTON","Susanne Alison","SAL","Socialist Alliance","N","Transfer Percent","7.320"
"VIC","234","Wills","0","ABSENT","1","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Preference Count","181"
"VIC","234","Wills","0","ABSENT","1","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Preference Percent","4.500"
"VIC","234","Wills","0","ABSENT","1","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Transfer Count","8"
"VIC","234","Wills","0","ABSENT","1","6","36031","ZIVKOVIC","Irene Evelyn","UAPP","United Australia Party","N","Transfer Percent","19.510"
"VIC","234","Wills","0","ABSENT","1","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1305"
"VIC","234","Wills","0","ABSENT","1","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","32.420"
"VIC","234","Wills","0","ABSENT","1","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","2"
"VIC","234","Wills","0","ABSENT","1","7","36452","KHALIL","Peter","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","4.880"
"VIC","234","Wills","0","ABSENT","1","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Preference Count","82"
"VIC","234","Wills","0","ABSENT","1","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Preference Percent","2.040"
"VIC","234","Wills","0","ABSENT","1","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Transfer Count","1"
"VIC","234","Wills","0","ABSENT","1","8","36686","HORSFALL","Leah Kim","AJP","Animal Justice Party","N","Transfer Percent","2.440"
"VIC","234","Wills","0","ABSENT","1","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Count","1568"
"VIC","234","Wills","0","ABSENT","1","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Preference Percent","38.960"
"VIC","234","Wills","0","ABSENT","1","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Count","4"
"VIC","234","Wills","0","ABSENT","1","9","36554","JEFFORD","Sarah Elizabeth","GVIC","The Australian Greens - Victoria","N","Transfer Percent","9.760"
"VIC","234","Wills","0","ABSENT","2","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","532"
"VIC","234","Wills","0","ABSENT","2","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","13.220"
"VIC","234","Wills","0","ABSENT","2","1","36738","WRIGHT","Thomas Edwin","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","6"
