2022 Federal Election Enrolment By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:31:27 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,CloseOfRollsEnrolment,NotebookRollAdditions,NotebookRollDeletions,ReinstatementsPostal,ReinstatementsPrePoll,ReinstatementsAbsent,ReinstatementsProvisional,Enrolment
179,Adelaide,SA,130151,10,209,1,1,6,0,129960
197,Aston,VIC,109826,3,127,0,1,1,1,109705
198,Ballarat,VIC,110704,3,152,2,7,3,3,110570
103,Banks,NSW,107786,1,144,12,8,24,13,107700
180,Barker,SA,123518,0,208,1,2,4,9,123326
104,Barton,NSW,110484,1,138,2,8,1,13,110371
192,Bass,TAS,79433,1,124,1,5,1,5,79322
318,Bean,ACT,109557,0,130,1,0,1,3,109432
200,Bendigo,VIC,112498,2,150,0,1,1,2,112354
105,Bennelong,NSW,115030,3,101,0,4,0,6,114942
106,Berowra,NSW,106203,6,39,0,1,2,1,106174
304,Blair,QLD,126470,1,117,5,2,3,2,126366
107,Blaxland,NSW,107348,0,105,0,4,0,5,107252
310,Bonner,QLD,109169,4,59,3,5,6,4,109132
182,Boothby,SA,128766,3,184,0,2,3,2,128592
155,Bowman,QLD,115764,0,67,3,7,4,4,115715
193,Braddon,TAS,82527,1,130,1,8,2,15,82424
108,Bradfield,NSW,108573,2,40,0,3,1,1,108540
235,Brand,WA,118225,5,132,0,1,2,1,118102
156,Brisbane,QLD,125241,1,72,4,14,8,12,125208
201,Bruce,VIC,112896,0,141,0,1,0,0,112756
317,Burt,WA,113024,5,113,0,1,0,1,112918
109,Calare,NSW,121564,1,171,1,3,5,11,121414
203,Calwell,VIC,106782,0,80,0,0,0,4,106706
101,Canberra,ACT,102196,0,123,0,3,0,2,102078
236,Canning,WA,115310,0,148,0,1,2,0,115165
157,Capricornia,QLD,108688,1,141,3,9,7,2,108569
204,Casey,VIC,114385,4,119,3,2,1,1,114277
111,Chifley,NSW,121385,9,121,0,1,2,4,121280
205,Chisholm,VIC,109973,4,152,4,2,10,10,109851
319,Clark,TAS,74797,0,111,1,5,4,1,74697
112,Cook,NSW,110313,6,125,1,6,6,14,110221
320,Cooper,VIC,108730,1,125,0,0,4,0,108610
328,Corangamite,VIC,112756,4,118,1,0,2,0,112645
208,Corio,VIC,112651,4,142,0,0,4,0,112517
237,Cowan,WA,122741,2,137,1,1,0,3,122611
113,Cowper,NSW,129887,2,208,0,2,3,2,129688
114,Cunningham,NSW,117309,2,154,3,5,1,3,117169
238,Curtin,WA,119397,5,135,1,0,0,0,119268
158,Dawson,QLD,110356,0,14,2,22,7,11,110384
209,Deakin,VIC,112589,7,150,0,1,4,4,112455
252,Dickson,QLD,112857,2,86,2,1,3,7,112786
115,Dobell,NSW,118581,0,195,1,3,3,7,118400
210,Dunkley,VIC,111693,3,137,0,0,3,5,111567
312,Durack,WA,118558,1,157,0,1,0,3,118406
117,Eden-Monaro,NSW,116468,0,140,1,3,2,4,116338
159,Fadden,QLD,127812,0,126,6,9,7,20,127728
160,Fairfax,QLD,123413,2,146,2,6,9,10,123296
