2022 Federal Election House of Representatives Informal Votes By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,FormalVotes,InformalVotes,TotalVotes,InformalPercent,InformalSwing
107,Blaxland,NSW,81677,9884,91561,10.79,-2.51
315,McMahon,NSW,84742,10057,94799,10.61,-1.47
119,Fowler,NSW,85903,10098,96001,10.52,-2.59
153,Werriwa,NSW,100631,10962,111593,9.82,-1.75
251,Watson,NSW,85727,9245,94972,9.73,-2.88
140,Parramatta,NSW,84265,8259,92524,8.93,0.56
111,Chifley,NSW,97189,9471,106660,8.88,-0.78
122,Greenway,NSW,100539,8999,109538,8.22,1.46
326,Hawke,VIC,87184,7735,94919,8.15,2.61
324,Nicholls,VIC,95191,8159,103350,7.89,0.43
139,Parkes,NSW,89080,7421,96501,7.69,1.83
193,Braddon,TAS,70598,5858,76456,7.66,0.58
126,Hunter,NSW,107727,8901,116628,7.63,-1.34
118,Farrer,NSW,100582,8256,108838,7.59,-1.54
104,Barton,NSW,91623,7405,99028,7.48,-2.05
237,Cowan,WA,99684,8039,107723,7.46,1.7
306,Lingiari,NT,45812,3647,49459,7.37,2.32
250,Riverina,NSW,98664,7794,106458,7.32,2.16
131,Macarthur,NSW,111127,8646,119773,7.22,-1.63
125,Hume,NSW,104762,8040,112802,7.13,0.67
309,Gorton,VIC,92434,7089,99523,7.12,1.04
138,Page,NSW,104569,7839,112408,6.97,2.22
180,Barker,SA,105799,7909,113708,6.96,1.39
183,Grey,SA,103118,7674,110792,6.93,0.02
145,Richmond,NSW,99784,7424,107208,6.92,-0.52
128,Lindsay,NSW,104726,7754,112480,6.89,-4.19
168,Leichhardt,QLD,91707,6715,98422,6.82,0.4
162,Forde,QLD,94612,6884,101496,6.78,2.14
103,Banks,NSW,92045,6550,98595,6.64,-0.56
130,Lyne,NSW,107248,7563,114811,6.59,-2.48
216,Holt,VIC,88896,6227,95123,6.55,2.38
117,Eden-Monaro,NSW,101517,7083,108600,6.52,-0.28
