2022 Federal Election House of Representatives Votes By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
179,Adelaide,SA,129960,87699,6416,712,3079,19296,117202,90.18
197,Aston,VIC,109705,78035,2935,206,3356,16948,101480,92.5
198,Ballarat,VIC,110570,81192,2403,246,3603,14165,101609,91.9
103,Banks,NSW,107700,80970,2751,335,3017,11522,98595,91.55
180,Barker,SA,123326,94543,2735,265,2643,13522,113708,92.2
104,Barton,NSW,110371,82210,4229,399,2842,9348,99028,89.72
192,Bass,TAS,79322,58408,1442,211,1499,11373,72933,91.95
318,Bean,ACT,109432,87907,1714,261,2657,8770,101309,92.58
200,Bendigo,VIC,112354,84936,2003,243,3278,13083,103543,92.16
105,Bennelong,NSW,114942,84009,2642,259,2678,16190,105778,92.03
106,Berowra,NSW,106174,80419,2868,186,2554,13362,99389,93.61
304,Blair,QLD,126366,81804,3473,418,4320,20064,110079,87.11
107,Blaxland,NSW,107252,75303,3378,490,2433,9957,91561,85.37
310,Bonner,QLD,109132,71511,3369,232,2358,21371,98841,90.57
182,Boothby,SA,128592,89943,4701,485,3257,20610,118996,92.54
155,Bowman,QLD,115715,80767,2186,170,3044,18570,104737,90.51
193,Braddon,TAS,82424,65587,1040,148,1561,8120,76456,92.76
108,Bradfield,NSW,108540,80268,2531,196,2261,15064,100320,92.43
235,Brand,WA,118102,79123,3866,330,3945,14968,102232,86.56
156,Brisbane,QLD,125208,74996,5560,403,7338,22813,111110,88.74
201,Bruce,VIC,112756,73144,4121,307,4136,17903,99611,88.34
317,Burt,WA,112918,73889,4671,473,3733,14459,97225,86.1
109,Calare,NSW,121414,99428,2179,238,2970,6959,111774,92.06
203,Calwell,VIC,106706,69995,3495,591,2954,13684,90719,85.02
101,Canberra,ACT,102078,77835,1718,336,3904,10197,93990,92.08
236,Canning,WA,115165,77862,4347,263,4154,14196,100822,87.55
157,Capricornia,QLD,108569,76504,2762,196,2881,13853,96196,88.6
204,Casey,VIC,114277,81405,3343,314,3373,17838,106273,93
111,Chifley,NSW,121280,88687,3132,467,4119,10255,106660,87.95
205,Chisholm,VIC,109851,73021,3176,271,3437,21376,101281,92.2
