2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","197","Aston","0","ABSENT","0","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Preference Count","291"
"VIC","197","Aston","0","ABSENT","0","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Preference Percent","10.290"
"VIC","197","Aston","0","ABSENT","0","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","870"
"VIC","197","Aston","0","ABSENT","0","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","30.760"
"VIC","197","Aston","0","ABSENT","0","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Preference Count","555"
"VIC","197","Aston","0","ABSENT","0","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Preference Percent","19.630"
"VIC","197","Aston","0","ABSENT","0","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","4","36181","BRUCE","Ryan William","TNL","TNL","N","Preference Count","43"
"VIC","197","Aston","0","ABSENT","0","4","36181","BRUCE","Ryan William","TNL","TNL","N","Preference Percent","1.520"
"VIC","197","Aston","0","ABSENT","0","4","36181","BRUCE","Ryan William","TNL","TNL","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","4","36181","BRUCE","Ryan William","TNL","TNL","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Preference Count","160"
"VIC","197","Aston","0","ABSENT","0","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Preference Percent","5.660"
"VIC","197","Aston","0","ABSENT","0","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Preference Count","94"
"VIC","197","Aston","0","ABSENT","0","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Preference Percent","3.320"
"VIC","197","Aston","0","ABSENT","0","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","0","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","815"
"VIC","197","Aston","0","ABSENT","0","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","28.820"
"VIC","197","Aston","0","ABSENT","0","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","0","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","1","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Preference Count","294"
"VIC","197","Aston","0","ABSENT","1","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Preference Percent","10.400"
"VIC","197","Aston","0","ABSENT","1","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Transfer Count","3"
"VIC","197","Aston","0","ABSENT","1","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Transfer Percent","6.980"
"VIC","197","Aston","0","ABSENT","1","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","877"
"VIC","197","Aston","0","ABSENT","1","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","31.010"
"VIC","197","Aston","0","ABSENT","1","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","7"
"VIC","197","Aston","0","ABSENT","1","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","16.280"
"VIC","197","Aston","0","ABSENT","1","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Preference Count","572"
"VIC","197","Aston","0","ABSENT","1","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Preference Percent","20.230"
"VIC","197","Aston","0","ABSENT","1","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Transfer Count","17"
"VIC","197","Aston","0","ABSENT","1","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Transfer Percent","39.530"
"VIC","197","Aston","0","ABSENT","1","4","36181","BRUCE","Ryan William","TNL","TNL","N","Preference Count","0"
"VIC","197","Aston","0","ABSENT","1","4","36181","BRUCE","Ryan William","TNL","TNL","N","Preference Percent","0.000"
"VIC","197","Aston","0","ABSENT","1","4","36181","BRUCE","Ryan William","TNL","TNL","N","Transfer Count","-43"
"VIC","197","Aston","0","ABSENT","1","4","36181","BRUCE","Ryan William","TNL","TNL","N","Transfer Percent","-100.000"
"VIC","197","Aston","0","ABSENT","1","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Preference Count","167"
"VIC","197","Aston","0","ABSENT","1","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Preference Percent","5.910"
"VIC","197","Aston","0","ABSENT","1","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Transfer Count","7"
"VIC","197","Aston","0","ABSENT","1","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Transfer Percent","16.280"
"VIC","197","Aston","0","ABSENT","1","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Preference Count","103"
"VIC","197","Aston","0","ABSENT","1","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Preference Percent","3.640"
"VIC","197","Aston","0","ABSENT","1","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Transfer Count","9"
"VIC","197","Aston","0","ABSENT","1","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Transfer Percent","20.930"
"VIC","197","Aston","0","ABSENT","1","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Preference Count","815"
"VIC","197","Aston","0","ABSENT","1","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Preference Percent","28.820"
"VIC","197","Aston","0","ABSENT","1","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","1","7","36377","DOYLE","Mary Judith Jacinta","ALP","Australian Labor Party (Victorian Branch)","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","2","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Preference Count","319"
"VIC","197","Aston","0","ABSENT","2","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Preference Percent","11.280"
"VIC","197","Aston","0","ABSENT","2","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Transfer Count","25"
"VIC","197","Aston","0","ABSENT","2","1","35983","SPELMAN","Rebekah Jane","UAPP","United Australia Party","N","Transfer Percent","24.270"
"VIC","197","Aston","0","ABSENT","2","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Count","902"
"VIC","197","Aston","0","ABSENT","2","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Preference Percent","31.900"
"VIC","197","Aston","0","ABSENT","2","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Count","25"
"VIC","197","Aston","0","ABSENT","2","2","36704","TUDGE","Alan Edward","LP","Liberal Party of Australia (Victorian Division)","Y","Transfer Percent","24.270"
"VIC","197","Aston","0","ABSENT","2","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Preference Count","584"
"VIC","197","Aston","0","ABSENT","2","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Preference Percent","20.650"
"VIC","197","Aston","0","ABSENT","2","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Transfer Count","12"
"VIC","197","Aston","0","ABSENT","2","3","36489","COOKSON","Asher Michael","GVIC","The Australian Greens - Victoria","N","Transfer Percent","11.650"
"VIC","197","Aston","0","ABSENT","2","4","36181","BRUCE","Ryan William","TNL","TNL","N","Preference Count","0"
"VIC","197","Aston","0","ABSENT","2","4","36181","BRUCE","Ryan William","TNL","TNL","N","Preference Percent","0.000"
"VIC","197","Aston","0","ABSENT","2","4","36181","BRUCE","Ryan William","TNL","TNL","N","Transfer Count","0"
"VIC","197","Aston","0","ABSENT","2","4","36181","BRUCE","Ryan William","TNL","TNL","N","Transfer Percent","0.000"
"VIC","197","Aston","0","ABSENT","2","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Preference Count","194"
"VIC","197","Aston","0","ABSENT","2","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Preference Percent","6.860"
"VIC","197","Aston","0","ABSENT","2","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Transfer Count","27"
"VIC","197","Aston","0","ABSENT","2","5","37636","IBBOTSON","Craig John","ON","Pauline Hanson's One Nation","N","Transfer Percent","26.210"
"VIC","197","Aston","0","ABSENT","2","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Preference Count","0"
"VIC","197","Aston","0","ABSENT","2","6","36938","ROCHE","Liam Francis","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
