2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","198","Ballarat","0","ABSENT","0","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Count","551"
"VIC","198","Ballarat","0","ABSENT","0","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Percent","24.340"
"VIC","198","Ballarat","0","ABSENT","0","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","2","36703","GREEN","Benjamin Thomas","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","507"
"VIC","198","Ballarat","0","ABSENT","0","2","36703","GREEN","Benjamin Thomas","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.390"
"VIC","198","Ballarat","0","ABSENT","0","2","36703","GREEN","Benjamin Thomas","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","2","36703","GREEN","Benjamin Thomas","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","3","33575","GRAHAM","John Alexander Campbell","IND","Independent","N","Preference Count","92"
"VIC","198","Ballarat","0","ABSENT","0","3","33575","GRAHAM","John Alexander Campbell","IND","Independent","N","Preference Percent","4.060"
"VIC","198","Ballarat","0","ABSENT","0","3","33575","GRAHAM","John Alexander Campbell","IND","Independent","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","3","33575","GRAHAM","John Alexander Campbell","IND","Independent","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","4","37442","SEDGMAN","Kerryn Peita","CYA","Australian Federation Party","N","Preference Count","35"
"VIC","198","Ballarat","0","ABSENT","0","4","37442","SEDGMAN","Kerryn Peita","CYA","Australian Federation Party","N","Preference Percent","1.550"
"VIC","198","Ballarat","0","ABSENT","0","4","37442","SEDGMAN","Kerryn Peita","CYA","Australian Federation Party","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","4","37442","SEDGMAN","Kerryn Peita","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","5","35985","PRYSE-SMITH","Terri Elizabeth","UAPP","United Australia Party","N","Preference Count","118"
"VIC","198","Ballarat","0","ABSENT","0","5","35985","PRYSE-SMITH","Terri Elizabeth","UAPP","United Australia Party","N","Preference Percent","5.210"
"VIC","198","Ballarat","0","ABSENT","0","5","35985","PRYSE-SMITH","Terri Elizabeth","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","5","35985","PRYSE-SMITH","Terri Elizabeth","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","6","37733","TAXIS","Rosalie Anne","ON","Pauline Hanson's One Nation","N","Preference Count","119"
"VIC","198","Ballarat","0","ABSENT","0","6","37733","TAXIS","Rosalie Anne","ON","Pauline Hanson's One Nation","N","Preference Percent","5.260"
"VIC","198","Ballarat","0","ABSENT","0","6","37733","TAXIS","Rosalie Anne","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","6","37733","TAXIS","Rosalie Anne","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","7","36993","McGRATH","Julia Ellen","LDP","Liberal Democratic Party","N","Preference Count","77"
"VIC","198","Ballarat","0","ABSENT","0","7","36993","McGRATH","Julia Ellen","LDP","Liberal Democratic Party","N","Preference Percent","3.400"
"VIC","198","Ballarat","0","ABSENT","0","7","36993","McGRATH","Julia Ellen","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","7","36993","McGRATH","Julia Ellen","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","0","8","36409","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","765"
"VIC","198","Ballarat","0","ABSENT","0","8","36409","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","33.790"
"VIC","198","Ballarat","0","ABSENT","0","8","36409","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","0","8","36409","KING","Catherine","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","1","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Count","551"
"VIC","198","Ballarat","0","ABSENT","1","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Preference Percent","24.340"
"VIC","198","Ballarat","0","ABSENT","1","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","198","Ballarat","0","ABSENT","1","1","36491","BARNES","John Edward","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","198","Ballarat","0","ABSENT","1","2","36703","GREEN","Benjamin Thomas","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","511"
"VIC","198","Ballarat","0","ABSENT","1","2","36703","GREEN","Benjamin Thomas","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","22.570"
"VIC","198","Ballarat","0","ABSENT","1","2","36703","GREEN","Benjamin Thomas","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","4"
