2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","200","Bendigo","0","ABSENT","0","1","37782","LAURIE","James Bonneville","IND","Independent","N","Preference Count","113"
"VIC","200","Bendigo","0","ABSENT","0","1","37782","LAURIE","James Bonneville","IND","Independent","N","Preference Percent","5.900"
"VIC","200","Bendigo","0","ABSENT","0","1","37782","LAURIE","James Bonneville","IND","Independent","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","1","37782","LAURIE","James Bonneville","IND","Independent","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","2","36424","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","679"
"VIC","200","Bendigo","0","ABSENT","0","2","36424","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","35.460"
"VIC","200","Bendigo","0","ABSENT","0","2","36424","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","2","36424","CHESTERS","Lisa Marie","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","3","36706","SCHADE","Darin Courtney","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","388"
"VIC","200","Bendigo","0","ABSENT","0","3","36706","SCHADE","Darin Courtney","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","20.260"
"VIC","200","Bendigo","0","ABSENT","0","3","36706","SCHADE","Darin Courtney","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","3","36706","SCHADE","Darin Courtney","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Preference Count","440"
"VIC","200","Bendigo","0","ABSENT","0","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Preference Percent","22.980"
"VIC","200","Bendigo","0","ABSENT","0","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","4","36499","SINCLAIR","Catherine Margaret","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Preference Count","50"
"VIC","200","Bendigo","0","ABSENT","0","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Preference Percent","2.610"
"VIC","200","Bendigo","0","ABSENT","0","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","5","36895","BANSEMER","Matthew Joseph","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Preference Count","143"
"VIC","200","Bendigo","0","ABSENT","0","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Preference Percent","7.470"
"VIC","200","Bendigo","0","ABSENT","0","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","6","37758","MIHAIL","Benjamin Joshua","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","0","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Preference Count","102"
"VIC","200","Bendigo","0","ABSENT","0","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Preference Percent","5.330"
"VIC","200","Bendigo","0","ABSENT","0","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","200","Bendigo","0","ABSENT","0","7","35980","SUARES","Elijah","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","200","Bendigo","0","ABSENT","1","1","37782","LAURIE","James Bonneville","IND","Independent","N","Preference Count","120"
"VIC","200","Bendigo","0","ABSENT","1","1","37782","LAURIE","James Bonneville","IND","Independent","N","Preference Percent","6.270"
"VIC","200","Bendigo","0","ABSENT","1","1","37782","LAURIE","James Bonneville","IND","Independent","N","Transfer Count","7"
