2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","203","Calwell","0","ABSENT","0","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Preference Count","327"
"VIC","203","Calwell","0","ABSENT","0","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","10.080"
"VIC","203","Calwell","0","ABSENT","0","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","753"
"VIC","203","Calwell","0","ABSENT","0","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.220"
"VIC","203","Calwell","0","ABSENT","0","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Preference Count","466"
"VIC","203","Calwell","0","ABSENT","0","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Preference Percent","14.370"
"VIC","203","Calwell","0","ABSENT","0","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1190"
"VIC","203","Calwell","0","ABSENT","0","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","36.690"
"VIC","203","Calwell","0","ABSENT","0","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Preference Count","360"
"VIC","203","Calwell","0","ABSENT","0","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Preference Percent","11.100"
"VIC","203","Calwell","0","ABSENT","0","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","6","36640","SMALL","Jerome David","VNS","Victorian Socialists","N","Preference Count","76"
"VIC","203","Calwell","0","ABSENT","0","6","36640","SMALL","Jerome David","VNS","Victorian Socialists","N","Preference Percent","2.340"
"VIC","203","Calwell","0","ABSENT","0","6","36640","SMALL","Jerome David","VNS","Victorian Socialists","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","6","36640","SMALL","Jerome David","VNS","Victorian Socialists","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","0","7","37441","BENGTSSON","Maria","CYA","Australian Federation Party","N","Preference Count","71"
"VIC","203","Calwell","0","ABSENT","0","7","37441","BENGTSSON","Maria","CYA","Australian Federation Party","N","Preference Percent","2.190"
"VIC","203","Calwell","0","ABSENT","0","7","37441","BENGTSSON","Maria","CYA","Australian Federation Party","N","Transfer Count","0"
"VIC","203","Calwell","0","ABSENT","0","7","37441","BENGTSSON","Maria","CYA","Australian Federation Party","N","Transfer Percent","0.000"
"VIC","203","Calwell","0","ABSENT","1","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Preference Count","347"
"VIC","203","Calwell","0","ABSENT","1","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Preference Percent","10.700"
"VIC","203","Calwell","0","ABSENT","1","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Transfer Count","20"
"VIC","203","Calwell","0","ABSENT","1","1","37626","PRESTON","Mark","ON","Pauline Hanson's One Nation","N","Transfer Percent","28.170"
"VIC","203","Calwell","0","ABSENT","1","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","757"
"VIC","203","Calwell","0","ABSENT","1","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","23.340"
"VIC","203","Calwell","0","ABSENT","1","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","4"
"VIC","203","Calwell","0","ABSENT","1","2","36705","STAKER-GUNN","Timothy","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","5.630"
"VIC","203","Calwell","0","ABSENT","1","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Preference Count","474"
"VIC","203","Calwell","0","ABSENT","1","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Preference Percent","14.620"
"VIC","203","Calwell","0","ABSENT","1","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Transfer Count","8"
"VIC","203","Calwell","0","ABSENT","1","3","36530","ABBOUD","Natalie","GVIC","The Australian Greens - Victoria","N","Transfer Percent","11.270"
"VIC","203","Calwell","0","ABSENT","1","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1197"
"VIC","203","Calwell","0","ABSENT","1","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","36.910"
"VIC","203","Calwell","0","ABSENT","1","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","7"
"VIC","203","Calwell","0","ABSENT","1","4","36419","VAMVAKINOU","Maria","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","9.860"
"VIC","203","Calwell","0","ABSENT","1","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Preference Count","379"
"VIC","203","Calwell","0","ABSENT","1","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Preference Percent","11.690"
"VIC","203","Calwell","0","ABSENT","1","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Transfer Count","19"
"VIC","203","Calwell","0","ABSENT","1","5","35994","NAIM","Joshua","UAPP","United Australia Party","N","Transfer Percent","26.760"
